
2025/02/22 (11:28:57) | ===> btop++ v.1.4.0
2025/02/22 (11:28:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (11:30:21) | ===> btop++ v.1.4.0
2025/02/22 (11:30:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (11:30:55) | ===> btop++ v.1.4.0
2025/02/22 (11:30:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (11:31:26) | ===> btop++ v.1.4.0
2025/02/22 (11:31:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (20:00:06) | ===> btop++ v.1.4.0
2025/02/22 (20:00:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (20:11:55) | ===> btop++ v.1.4.0
2025/02/22 (20:11:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (21:19:34) | ===> btop++ v.1.4.0
2025/02/25 (21:19:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (09:07:45) | ===> btop++ v.1.4.0
2025/03/06 (09:07:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (10:20:10) | ===> btop++ v.1.4.0
2025/03/06 (10:20:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (08:09:04) | ===> btop++ v.1.4.0
2025/03/12 (08:09:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (08:48:08) | ===> btop++ v.1.4.0
2025/03/12 (08:48:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (08:49:07) | ===> btop++ v.1.4.0
2025/03/12 (08:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (08:03:19) | ===> btop++ v.1.4.0
2025/03/19 (08:03:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (08:13:16) | ===> btop++ v.1.4.0
2025/03/19 (08:13:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (09:26:35) | ===> btop++ v.1.4.0
2025/03/19 (09:26:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (08:11:53) | ===> btop++ v.1.4.0
2025/03/26 (08:11:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (12:48:32) | ===> btop++ v.1.4.0
2025/03/26 (12:48:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (08:46:31) | ===> btop++ v.1.4.0
2025/04/02 (08:46:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (09:22:28) | ===> btop++ v.1.4.0
2025/04/02 (09:22:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (09:44:48) | ===> btop++ v.1.4.0
2025/04/02 (09:44:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (08:12:55) | ===> btop++ v.1.4.0
2025/04/09 (08:12:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (10:30:24) | ===> btop++ v.1.4.0
2025/04/09 (10:30:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/09 (13:04:46) | ===> btop++ v.1.4.0
2025/04/09 (13:04:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (11:46:04) | ===> btop++ v.1.4.0
2025/04/11 (11:46:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (11:47:14) | ===> btop++ v.1.4.0
2025/04/11 (11:47:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (12:29:46) | ===> btop++ v.1.4.0
2025/04/11 (12:29:46) | WARNING: Intel GPU: Failed to initialize PMU
